Month;Day;Email Answer ?24h;Email Answer >24h;Email Not Answer;SL 90/30s;;"Forecast 
Contact Received";"Real 
Contact Received";"Real 
Contact Offered";"(%) Gap 
Contact Received";"Real
Contact Answer";"Real
Contact Answer 30''";"Real
Contact Abandoned";"(%)
Abandoned";"Real
Shortcalls 10""";"(%)
Shortcalls";;Forecast AWT;AWT;Minutes AWT;"(%) Gap 
Awt";Forecast AHT;AHT;Minutes AHT;"(%) Gap
AHT";;Hours Logged;Agents Logged;" %
Utilization";Agents Logged;" %
Utilization";;Forecast Wokstation;Wokstation Logged;Desvio (%);;Observations
Total;;94.63%;5.31%;0.06%;0.00%;;0;3,109;3,109;;3,107;0;0;0.00%;0;0.00%;;86,400;31,129;08:49:51;-63.97%;228;0;00:00:00;-100.00%;;00:00:00;#DIV/0!;#DIV/0!;  ;  ;;#DIV/0!;#DIV/0!;#DIV/0!;;
30/08/2019;Sex;96.20%;3.17%;0.63%;0.00%;;0;631;631;;627;0;0;0.00%;0;0.00%;;86,400;35,690;10:07:29;-58.69%;228;0;00:00:00;-100.00%;;;;;;;;;;;;
31/08/2019;Sáb;81.74%;0.00%;18.26%;0.00%;;0;367;367;;300;0;0;0.00%;0;0.00%;;86,400;29,621;08:24:11;-65.72%;228;0;00:00:00;-100.00%;;;;;;;;;;;;
01/09/2019;Dom;99.56%;0.44%;0.00%;0.00%;;0;459;459;#N/A;459;0;0;0.00%;0;0.00%;;86,400;9,672;02:44:37;-88.81%;228;0;00:00:00;-100.00%;;00:00:00;0;0.00%; -   ;;;;;;;
02/09/2019;Seg;90.82%;9.18%;0.00%;0.00%;;0;817;817;;817;0;0;0.00%;0;0.00%;;86,400;44,973;12:45:30;-47.95%;228;0;00:00:00;-100.00%;;00:00:00;0;0.00%; -   ;;;;;;;
03/09/2019;Ter;85.81%;14.19%;0.00%;0.00%;;0;620;620;;620;0;0;0.00%;0;0.00%;;86,400;49,310;13:59:20;-42.93%;228;0;00:00:00;-100.00%;;00:00:00;0;0.00%; -   ;;;;;;;
04/09/2019;Qua;100.00%;0.00%;0.00%;0.00%;;0;607;607;;607;0;0;0.00%;0;0.00%;;86,400;33,569;09:31:23;-61.15%;228;0;00:00:00;-100.00%;;00:00:00;0;0.00%; -   ;;;;;;;
05/09/2019;Qui;99.67%;0.00%;0.33%;0.00%;;0;606;606;;604;0;0;0.00%;0;0.00%;;86,400;7,671;02:10:34;-91.12%;228;0;00:00:00;-100.00%;;00:00:00;0;0.00%; -   ;;;;;;;
06/09/2019;Sex;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  ;;;;;;;
07/09/2019;Sáb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  ;;;;;;;
08/09/2019;Dom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  ;;;;;;;
09/09/2019;Seg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  ;;;;;;;
10/09/2019;Ter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  ;;;;;;;
11/09/2019;Qua;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  ;;;;;;;
12/09/2019;Qui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  ;;;;;;;
13/09/2019;Sex;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  ;;;;;;;
14/09/2019;Sáb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  ;;;;;;;
15/09/2019;Dom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  ;;;;;;;
16/09/2019;Seg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  ;;;;;;;
17/09/2019;Ter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  ;;;;;;;
18/09/2019;Qua;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  ;;;;;;;
19/09/2019;Qui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  ;;;;;;;
20/09/2019;Sex;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  ;;;;;;;
21/09/2019;Sáb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  ;;;;;;;
22/09/2019;Dom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  ;;;;;;;
23/09/2019;Seg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  ;;;;;;;
24/09/2019;Ter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  ;;;;;;;
25/09/2019;Qua;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  ;;;;;;;
26/09/2019;Qui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  ;;;;;;;
27/09/2019;Sex;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  ;;;;;;;
28/09/2019;Sáb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  ;;;;;;;
29/09/2019;Dom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  ;;;;;;;
30/09/2019;Seg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  ;;;;;;;
01/10/2019;Ter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  ;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;00:00:00;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;00:00:00;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;00:00:00;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;00:00:00;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;00:00:00;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;00:00:00;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;00:00:00;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;00:00:00;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;00:00:00;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;00:00:00;;;;;;;;;;;;;
